id,smiles,inchiKey,parentGroupLabel,reactionStep,functionalGroup,stoichiometry,uff_energy,mmff_energy
2,Nc1c(N)nc(cn1)N,ALOJQGYOHJAGOO-UHFFFAOYSA-N,1,0,NH2,C4N5H7,15.32124352,-10.67120524
4,Nc1c(N)nc(N)c(n1)N,BLFHNSQIZCUTLB-UHFFFAOYSA-N,1,0,NH2,C4N6H8,18.80901016,-20.16323836
13,NC1=C(N)NC(N)=C(N1)N,GGBPWHAKAUDUOF-UHFFFAOYSA-N,1,1,NH2,C4N6H10,18.15922607,-98.29716969
20,NC1=CNC(N)=C(N1)N,OHQOCEAZEGGOHB-UHFFFAOYSA-N,1,1,NH2,C4N5H9,13.50830854,-72.14511288
3,Nc1cnc(N)c(n1)S(=O)(=O)O,BFRAZKJFUMTMOB-UHFFFAOYSA-N,1,0,SO3H,C4N4H6SO3,18.9864692,18.73359846
7,Nc1c(S(=O)(=O)O)nc(N)c(n1)S(=O)(=O)O,HBLSELLKWAXSJE-UHFFFAOYSA-N,1,0,SO3H,C4N4H6S2O6,25.84922998,43.87690285
17,NC1=C(S(=O)(=O)O)NC(N)=CN1,LDQPDBURZNYYIX-UHFFFAOYSA-N,1,1,SO3H,C4N4H8SO3,17.26255744,-22.54789073
22,NC1=C(S(=O)(=O)O)NC(N)=C(N1)S(=O)(=O)O,UGZRDADQDACTTI-UHFFFAOYSA-N,1,1,SO3H,C4N4H8S2O6,25.64576529,5.427879695
5,Nc1c(F)nc(c(n1)F)N,DXLSXMDVVMXTTH-UHFFFAOYSA-N,1,0,F,C4N4H4F2,12.5704752,60.62445851
11,Nc1c(F)nc(cn1)N,ZRXIZMNTQDWDKL-UHFFFAOYSA-N,1,0,F,C4N4H5F,12.20167697,29.497234
14,NC1=CNC(N)=C(F)N1,IYELRJAEDSMZNJ-UHFFFAOYSA-N,1,1,F,C4N4H7F,9.461408924,-29.36367601
18,NC1=C(F)NC(N)=C(F)N1,NLZTVMLXCKVUKD-UHFFFAOYSA-N,1,1,F,C4N4H6F2,10.03133615,-11.60453646
6,Nc1cnc(N)c(n1)O,FFHFOXMXRVDIOO-UHFFFAOYSA-N,1,0,OH,C4N4H6O,12.60893699,-4.618033141
10,Nc1c(O)nc(N)c(n1)O,YUTPLFXFUSMTIW-UHFFFAOYSA-N,1,0,OH,C4N4H6O2,13.38428481,-7.757914981
16,NC1=C(O)NC(N)=C(N1)O,KKYOCRWNHACIBU-UHFFFAOYSA-N,1,1,OH,C4N4H8O2,14.35270147,-73.58343217
19,NC1=C(O)NC(N)=CN1,NPLLIUTYBMTCHF-UHFFFAOYSA-N,1,1,OH,C4N4H8O,13.22793782,-60.00183116
8,Nc1c(C(=O)O)nc(N)c(n1)C(=O)O,VELGYJCKWFALBF-UHFFFAOYSA-N,1,0,COOH,C6N4H6O4,27.34105298,91.02283808
9,Nc1c(C(=O)O)nc(cn1)N,YFJXGQCGFHQJMN-UHFFFAOYSA-N,1,0,COOH,C5N4H6O2,19.07077518,40.53432219
15,NC1=CNC(N)=C(N1)C(=O)O,JNCGIFKQCOXCNC-UHFFFAOYSA-N,1,1,COOH,C5N4H8O2,18.4807543,-24.13830454
21,NC1=C(C(=O)O)NC(N)=C(N1)C(=O)O,OXJLUTJYAOHQGS-UHFFFAOYSA-N,1,1,COOH,C6N4H8O4,26.41798441,0.328932392
26,O=C1C(N)=C(N)C(=O)C(N)=C1N,DNHCPEFCQYRQQN-UHFFFAOYSA-N,2,0,NH2,C6N4H8O2,22.71982679,162.896381
32,O=C1C(N)=CC(=O)C(N)=C1N,TVRSTHUFWDUKKJ-UHFFFAOYSA-N,2,0,NH2,C6N3H7O2,16.7800618,112.9419921
37,Oc1c(N)cc(O)c(N)c1N,IFVXOPUYTNVUFE-UHFFFAOYSA-N,2,1,NH2,C6N3H9O2,25.66248134,30.77290317
44,Oc1c(N)c(N)c(O)c(N)c1N,YMHUTHKVDHJQGN-UHFFFAOYSA-N,2,1,NH2,C6N4H10O2,31.62960606,55.95625229
27,O=C1C(N)=C(S(=O)(=O)O)C(=O)C(N)=C1S(=O)(=O)O,FDEFQMIRXCLZQV-UHFFFAOYSA-N,2,0,SO3H,C6N2H6S2O8,32.56089466,-105.2932432
39,Oc1c(N)c(S(=O)(=O)O)c(O)c(N)c1S(=O)(=O)O,KZVDUZAPZKCNQR-UHFFFAOYSA-N,2,1,SO3H,C6N2H8S2O8,43.26046574,-39.59390125
40,Oc1c(N)c(S(=O)(=O)O)c(O)c(c1)N,OHSVUSXHSXXKOX-UHFFFAOYSA-N,2,1,SO3H,C6N2H8SO5,31.38776652,-19.11754938
25,O=C1C(N)=C(F)C(=O)C(=C1F)N,CYXLETSBXQMCLV-UHFFFAOYSA-N,2,0,F,C6N2H4O2F2,12.4788321,112.4964112
29,O=C1C(N)=C(F)C(=O)C(=C1)N,RISFMGLMFIVIIC-UHFFFAOYSA-N,2,0,F,C6N2H5O2F,11.72230781,87.55622133
36,Oc1c(N)c(F)c(O)c(c1F)N,HFBFYRKZXXMQSW-UHFFFAOYSA-N,2,1,F,C6N2H6O2F2,16.93504774,76.61747332
42,Oc1c(N)cc(O)c(c1F)N,RRPSMJLCXDRYML-UHFFFAOYSA-N,2,1,F,C6N2H7O2F,18.15782406,40.90099541
31,O=C1C(N)=C(O)C(=O)C(N)=C1O,TVDVRGGBAMKANY-UHFFFAOYSA-N,2,0,OH,C6N2H6O4,17.81578931,124.0621984
33,O=C1C(N)=C(O)C(=O)C(=C1)N,XXJUOQIDMTZDAS-UHFFFAOYSA-N,2,0,OH,C6N2H6O3,15.82734232,93.50484561
35,Oc1c(N)c(O)c(O)c(N)c1O,DFKMBBHOBRNKEJ-UHFFFAOYSA-N,2,1,OH,C6N2H8O4,26.82242251,32.22131253
38,Oc1c(N)c(O)c(O)c(c1)N,JSCZTUHYDANNRA-UHFFFAOYSA-N,2,1,OH,C6N2H8O3,24.31062985,18.7468162
28,O=C1C(N)=CC(=O)C(N)=C1C(=O)O,JIXDTWVPZYBRQU-UHFFFAOYSA-N,2,0,COOH,C7N2H6O4,21.97587475,39.43059551
30,O=C1C(N)=C(C(=O)O)C(=O)C(N)=C1C(=O)O,ROKZXZMEHLTLNK-UHFFFAOYSA-N,2,0,COOH,C8N2H6O6,32.34480603,17.30560408
41,Oc1c(N)c(C(=O)O)c(O)c(N)c1C(=O)O,ONKNMUXQRBNUHU-UHFFFAOYSA-N,2,1,COOH,C8N2H8O6,43.01099586,45.70249385
43,Oc1c(N)cc(O)c(N)c1C(=O)O,XYUBOFQBKNTNOK-UHFFFAOYSA-N,2,1,COOH,C7N2H8O4,31.0677864,24.38877238
